Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2023-02-25,1,48500,634,8 out of 11,Super Area,Andheri East,Mumbai,Furnished,Family,1,Contact Builder
2023-01-01,2,14000,1125,1 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,3,Contact Agent
2023-06-29,2,19500,1090,4 out of 10,Carpet Area,HITEC City,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2023-11-10,4,107000,1515,3 out of 7,Super Area,Malad,Mumbai,Unfurnished,Bachelors/Family,3,Contact Builder
2022-04-15,1,36500,953,7 out of 12,Super Area,Pitampura,Delhi,Furnished,Family,1,Contact Builder
2023-04-03,3,17500,1369,4 out of 7,Carpet Area,Howrah,Kolkata,Unfurnished,Family,2,Contact Agent
2022-03-24,2,47000,1283,4 out of 6,Super Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2,Contact Agent
2023-03-10,2,63500,1793,3 out of 5,Super Area,Indiranagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2022-10-28,4,37500,1432,7 out of 10,Super Area,Nungambakkam,Chennai,Semi-Furnished,Bachelors,4,Contact Agent
2022-05-20,2,37000,1214,Ground out of 5,Super Area,Koramangala,Bangalore,Unfurnished,Bachelors,2,Contact Builder
2022-07-06,4,25000,2177,8 out of 12,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,5,Contact Builder
2022-04-24,2,12500,1094,3 out of 4,Super Area,Salt Lake,Kolkata,Unfurnished,Family,3,Contact Agent
2023-01-04,3,61000,1510,2 out of 3,Super Area,Hauz Khas,Delhi,Furnished,Bachelors/Family,4,Contact Agent
2022-01-29,3,21000,731,8 out of 12,Carpet Area,T Nagar,Chennai,Furnished,Bachelors/Family,3,Contact Builder
2022-05-14,2,10000,699,Ground out of 6,Super Area,Ballygunge,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
2024-01-03,3,32500,1520,5 out of 11,Built Area,Velachery,Chennai,Furnished,Bachelors/Family,3,Contact Builder
2022-04-18,1,13000,663,2 out of 3,Carpet Area,Perambur,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2023-02-09,3,52000,1451,3 out of 4,Super Area,Pitampura,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2023-03-20,1,19500,1382,2 out of 5,Super Area,Mylapore,Chennai,Unfurnished,Bachelors/Family,2,Contact Builder
2022-06-25,3,74000,1546,2 out of 3,Carpet Area,Indiranagar,Bangalore,Furnished,Family,3,Contact Owner
2024-01-02,2,17000,1850,1 out of 6,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors,3,Contact Builder
2022-02-06,2,27000,1223,10 out of 14,Carpet Area,Madhapur,Hyderabad,Furnished,Bachelors,2,Contact Owner
2024-02-12,2,48500,1140,Ground out of 6,Carpet Area,Marathahalli,Bangalore,Furnished,Bachelors/Family,1,Contact Agent
2023-03-30,2,27500,713,9 out of 11,Super Area,Karol Bagh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2023-04-19,2,20000,1603,2 out of 7,Carpet Area,Salt Lake,Kolkata,Furnished,Family,2,Contact Agent
2023-03-25,2,14000,1081,3 out of 6,Built Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2023-12-23,5,152500,1435,3 out of 9,Super Area,Kurla,Mumbai,Semi-Furnished,Bachelors,4,Contact Owner
2024-02-25,2,39000,1162,2 out of 8,Super Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Builder
2022-08-14,1,93500,1530,7 out of 11,Super Area,Bandra West,Mumbai,Furnished,Bachelors,1,Contact Agent
2022-09-18,3,20500,1324,1 out of 3,Super Area,Park Street,Kolkata,Furnished,Bachelors/Family,2,Contact Builder
2023-04-06,3,111000,1018,1 out of 6,Super Area,Kurla,Mumbai,Furnished,Bachelors/Family,2,Contact Builder
2023-03-08,3,32000,1417,2 out of 7,Super Area,Adyar,Chennai,Furnished,Bachelors/Family,3,Contact Builder
2023-01-25,3,17000,1059,9 out of 12,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors,3,Contact Owner
2022-07-11,1,20500,1338,4 out of 6,Carpet Area,Jubilee Hills,Hyderabad,Semi-Furnished,Family,1,Contact Owner
2023-03-25,2,11500,1362,2 out of 8,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-10-13,1,52000,916,5 out of 11,Built Area,Dadar,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-02-18,2,46000,1568,Ground out of 6,Super Area,Dwarka,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-28,4,47500,972,2 out of 6,Carpet Area,Janakpuri,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-07-08,2,21000,775,10 out of 11,Carpet Area,Kukatpally,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
2022-01-22,1,13000,1534,1 out of 5,Carpet Area,Salt Lake,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2023-11-07,3,60500,1551,2 out of 6,Built Area,Karol Bagh,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2023-08-07,2,20500,1160,3 out of 8,Built Area,Banjara Hills,Hyderabad,Unfurnished,Bachelors,3,Contact Owner
2023-10-09,5,53500,1406,Ground out of 6,Carpet Area,BTM Layout,Bangalore,Unfurnished,Bachelors/Family,4,Contact Agent
2022-12-20,2,72500,1056,3 out of 8,Super Area,Andheri East,Mumbai,Semi-Furnished,Family,2,Contact Builder
2024-03-03,3,58000,1418,7 out of 13,Carpet Area,Dwarka,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2023-12-28,3,29000,1259,Ground out of 6,Super Area,Kukatpally,Hyderabad,Furnished,Bachelors,4,Contact Owner
2022-05-19,1,31500,990,Ground out of 6,Super Area,Saket,Delhi,Semi-Furnished,Bachelors,1,Contact Owner
2022-07-13,3,21500,994,1 out of 2,Carpet Area,Velachery,Chennai,Unfurnished,Bachelors/Family,4,Contact Owner
2022-01-10,2,15500,1259,6 out of 9,Carpet Area,New Town,Kolkata,Furnished,Family,1,Contact Agent
2022-09-14,3,18000,1133,5 out of 10,Carpet Area,Behala,Kolkata,Furnished,Bachelors,4,Contact Owner
2023-08-09,2,64000,706,1 out of 5,Carpet Area,Kurla,Mumbai,Furnished,Bachelors,3,Contact Owner
2022-08-31,3,44500,991,Ground out of 6,Carpet Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Builder
2024-01-29,2,57500,1744,1 out of 4,Built Area,Rohini,Delhi,Furnished,Bachelors,2,Contact Agent
2023-03-19,5,23000,1710,4 out of 9,Super Area,Howrah,Kolkata,Unfurnished,Bachelors,5,Contact Agent
2022-06-04,2,13500,1502,Ground out of 1,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-08-30,3,96000,1230,Ground out of 3,Super Area,Worli,Mumbai,Furnished,Bachelors,4,Contact Owner
2023-02-27,3,44500,1197,3 out of 9,Super Area,HSR Layout,Bangalore,Semi-Furnished,Family,2,Contact Owner
2023-11-18,3,62500,1506,3 out of 4,Carpet Area,Koramangala,Bangalore,Furnished,Family,2,Contact Owner
2023-10-04,2,38500,1244,1 out of 5,Super Area,Lajpat Nagar,Delhi,Unfurnished,Bachelors,2,Contact Agent
2022-08-11,2,19500,1203,Ground out of 6,Super Area,Nungambakkam,Chennai,Unfurnished,Bachelors,2,Contact Agent
2022-04-25,2,13000,961,Ground out of 1,Carpet Area,New Town,Kolkata,Furnished,Bachelors/Family,3,Contact Agent
2022-01-29,3,67000,1638,3 out of 7,Built Area,Vasant Kunj,Delhi,Furnished,Family,2,Contact Owner
2022-06-07,1,23000,1494,2 out of 8,Carpet Area,Nungambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-20,3,37000,1015,Ground out of 1,Carpet Area,Whitefield,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Builder
2022-11-20,2,14500,1280,8 out of 9,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Agent
2023-02-13,3,19000,1870,1 out of 5,Super Area,Behala,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-09-09,1,13000,863,2 out of 7,Carpet Area,Mylapore,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Builder
2024-03-11,1,13500,1396,1 out of 2,Super Area,Dum Dum,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2024-02-10,3,111000,1120,1 out of 2,Super Area,Worli,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-06-25,2,18500,1085,3 out of 9,Super Area,Anna Nagar,Chennai,Unfurnished,Bachelors/Family,3,Contact Builder
2022-05-25,2,43000,1085,6 out of 12,Super Area,Hauz Khas,Delhi,Semi-Furnished,Family,3,Contact Agent
2023-03-07,2,14500,1367,4 out of 9,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Builder
2023-07-15,5,132000,1365,3 out of 5,Super Area,Navi Mumbai,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2023-12-13,2,9000,746,Ground out of 3,Built Area,Howrah,Kolkata,Unfurnished,Family,2,Contact Owner
2023-12-30,2,48500,1619,2 out of 6,Carpet Area,Janakpuri,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-08-12,1,24000,788,2 out of 4,Super Area,Marathahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-09-17,2,30500,1471,4 out of 7,Super Area,Adyar,Chennai,Furnished,Bachelors/Family,1,Contact Owner
2023-01-26,2,60500,950,Ground out of 5,Carpet Area,Andheri East,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
2024-02-06,1,43000,893,3 out of 7,Super Area,Navi Mumbai,Mumbai,Unfurnished,Family,1,Contact Builder
2023-05-28,1,12500,1113,1 out of 5,Built Area,New Town,Kolkata,Furnished,Bachelors,1,Contact Owner
2022-01-28,2,25000,739,2 out of 5,Built Area,Pitampura,Delhi,Unfurnished,Family,2,Contact Builder
2022-01-30,2,55500,1532,4 out of 8,Super Area,Hauz Khas,Delhi,Furnished,Bachelors,3,Contact Owner
2022-08-14,2,73500,1273,1 out of 3,Carpet Area,Powai,Mumbai,Unfurnished,Bachelors/Family,1,Contact Builder
2024-02-01,2,24000,1139,4 out of 8,Super Area,Kukatpally,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-04-07,2,39500,842,5 out of 11,Super Area,Hauz Khas,Delhi,Furnished,Bachelors/Family,3,Contact Agent
2022-02-03,5,130500,1254,4 out of 7,Carpet Area,Borivali,Mumbai,Furnished,Bachelors/Family,6,Contact Agent
2022-10-09,1,19500,1174,7 out of 9,Carpet Area,Kukatpally,Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner
2022-06-26,3,28000,1261,Ground out of 4,Carpet Area,Gachibowli,Hyderabad,Furnished,Family,4,Contact Builder
2022-09-19,4,45500,1989,3 out of 6,Super Area,Velachery,Chennai,Semi-Furnished,Bachelors,4,Contact Builder
2022-12-29,3,56500,1549,5 out of 11,Super Area,Marathahalli,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-07-29,1,14500,566,3 out of 7,Super Area,Adyar,Chennai,Furnished,Bachelors/Family,1,Contact Owner
2023-02-24,2,37500,1121,1 out of 2,Carpet Area,Whitefield,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
2023-12-01,2,14500,1315,4 out of 10,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,1,Contact Builder
2022-12-12,1,64000,864,1 out of 7,Super Area,Dadar,Mumbai,Furnished,Bachelors,1,Contact Builder
2023-12-17,2,25500,1586,3 out of 4,Carpet Area,Porur,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Builder
2022-07-26,2,35000,937,5 out of 10,Super Area,Jayanagar,Bangalore,Unfurnished,Family,3,Contact Builder
2022-05-08,2,6500,376,2 out of 7,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Family,1,Contact Agent
2022-12-16,2,10000,760,2 out of 3,Super Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2023-06-19,3,28000,1217,7 out of 13,Built Area,Jubilee Hills,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Agent
2023-02-15,2,17000,1018,Ground out of 3,Super Area,Jubilee Hills,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Agent
2023-04-14,2,59500,1827,Ground out of 5,Carpet Area,Whitefield,Bangalore,Semi-Furnished,Family,3,Contact Builder
2022-09-04,3,48000,911,8 out of 10,Super Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Builder
2023-04-26,5,40500,1472,2 out of 3,Built Area,Nungambakkam,Chennai,Semi-Furnished,Bachelors/Family,6,Contact Agent
2024-01-15,3,26500,1290,Ground out of 6,Built Area,HITEC City,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-11-13,3,29500,1614,Ground out of 4,Carpet Area,Madhapur,Hyderabad,Unfurnished,Bachelors,4,Contact Owner
2023-01-05,2,21500,1087,5 out of 11,Carpet Area,Anna Nagar,Chennai,Furnished,Bachelors/Family,1,Contact Builder
2023-12-01,1,13000,834,5 out of 7,Built Area,T Nagar,Chennai,Semi-Furnished,Family,1,Contact Agent
2023-06-25,2,13000,1193,3 out of 4,Carpet Area,Ballygunge,Kolkata,Semi-Furnished,Family,3,Contact Owner
2023-05-26,2,14500,1110,1 out of 2,Carpet Area,Howrah,Kolkata,Semi-Furnished,Bachelors,3,Contact Agent
2022-11-08,1,14000,1429,2 out of 8,Carpet Area,Dum Dum,Kolkata,Furnished,Bachelors,2,Contact Agent
2022-10-03,2,24500,1163,5 out of 11,Super Area,Jubilee Hills,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2023-08-24,2,48000,1296,3 out of 7,Super Area,Indiranagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2022-03-04,2,31500,712,4 out of 6,Super Area,Jayanagar,Bangalore,Semi-Furnished,Family,3,Contact Builder
2022-12-20,2,44500,1322,4 out of 7,Super Area,Karol Bagh,Delhi,Semi-Furnished,Family,1,Contact Owner
2024-02-11,5,71500,1531,10 out of 14,Built Area,Dwarka,Delhi,Unfurnished,Bachelors/Family,5,Contact Owner
2023-04-22,3,39500,1204,3 out of 6,Super Area,Indiranagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-08-03,3,32000,1289,Ground out of 3,Super Area,T Nagar,Chennai,Furnished,Bachelors/Family,3,Contact Agent
2022-06-03,3,27000,1157,10 out of 12,Super Area,Anna Nagar,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2023-05-25,4,34500,1195,6 out of 8,Super Area,HITEC City,Hyderabad,Semi-Furnished,Bachelors,5,Contact Agent
2023-12-17,2,11000,1125,2 out of 8,Carpet Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-01-12,4,25500,1829,1 out of 5,Super Area,Park Street,Kolkata,Semi-Furnished,Bachelors,3,Contact Owner
2023-02-13,2,34000,958,3 out of 6,Carpet Area,Whitefield,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2023-03-27,3,22000,1471,1 out of 3,Carpet Area,Park Street,Kolkata,Furnished,Bachelors,2,Contact Builder
2023-11-06,3,72000,686,7 out of 12,Carpet Area,Thane,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Builder
2022-05-28,2,20000,1057,4 out of 10,Super Area,Porur,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Builder
2022-07-31,2,98500,1649,1 out of 4,Carpet Area,Borivali,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2022-09-27,1,9000,954,2 out of 4,Super Area,Howrah,Kolkata,Furnished,Family,1,Contact Builder
2023-04-25,5,23500,1966,2 out of 7,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,6,Contact Builder
2024-02-15,3,14000,1008,3 out of 6,Super Area,Park Street,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-01-12,3,33000,1749,Ground out of 3,Carpet Area,Kondapur,Hyderabad,Unfurnished,Bachelors,3,Contact Agent
2023-05-22,2,22000,1189,1 out of 4,Super Area,Nungambakkam,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2024-01-19,2,19500,1047,4 out of 5,Super Area,Perambur,Chennai,Unfurnished,Bachelors,2,Contact Agent
2024-02-17,2,84500,1008,1 out of 6,Super Area,Andheri East,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-10-23,2,27000,1549,3 out of 8,Super Area,Porur,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-03-18,2,81500,899,4 out of 6,Super Area,Kurla,Mumbai,Furnished,Bachelors,3,Contact Owner
2022-07-28,1,18000,1090,4 out of 8,Super Area,Velachery,Chennai,Furnished,Bachelors/Family,1,Contact Agent
2022-07-10,3,26000,1230,1 out of 7,Super Area,Nungambakkam,Chennai,Semi-Furnished,Family,2,Contact Owner
2022-01-06,4,78500,1584,2 out of 6,Super Area,Rohini,Delhi,Furnished,Bachelors,3,Contact Owner
2024-02-03,3,75000,807,4 out of 6,Super Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2023-01-01,2,38500,1121,4 out of 9,Carpet Area,Saket,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-22,2,33500,1475,4 out of 9,Carpet Area,Madhapur,Hyderabad,Furnished,Family,2,Contact Agent
2024-02-09,1,16000,929,Ground out of 3,Carpet Area,Adyar,Chennai,Furnished,Family,1,Contact Agent
2022-08-28,3,28500,1027,5 out of 11,Super Area,Nungambakkam,Chennai,Furnished,Bachelors/Family,4,Contact Agent
2022-01-31,2,24500,1639,Ground out of 5,Built Area,Banjara Hills,Hyderabad,Unfurnished,Bachelors,3,Contact Agent
2023-04-06,2,17000,1117,6 out of 12,Super Area,Behala,Kolkata,Furnished,Family,2,Contact Agent
2022-02-14,1,18500,1281,5 out of 8,Super Area,Anna Nagar,Chennai,Unfurnished,Bachelors,2,Contact Owner
2022-02-16,3,27000,940,Ground out of 2,Super Area,Banjara Hills,Hyderabad,Furnished,Bachelors/Family,4,Contact Owner
2022-11-02,4,28000,1141,1 out of 3,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors,5,Contact Owner
2022-02-02,2,37000,992,4 out of 8,Super Area,Rohini,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Builder
2023-03-14,2,39500,1027,3 out of 7,Carpet Area,Karol Bagh,Delhi,Furnished,Bachelors,1,Contact Owner
2022-05-06,4,120500,1469,2 out of 7,Super Area,Thane,Mumbai,Unfurnished,Bachelors/Family,5,Contact Owner
2023-11-28,3,12000,725,1 out of 6,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-02-15,3,26000,1100,3 out of 9,Built Area,Adyar,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2024-01-02,3,102000,1092,5 out of 9,Super Area,Powai,Mumbai,Furnished,Bachelors,3,Contact Owner
2023-08-24,3,21500,1254,6 out of 8,Carpet Area,Behala,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-12-29,3,45500,888,Ground out of 3,Carpet Area,Koramangala,Bangalore,Furnished,Bachelors,3,Contact Owner
2023-08-05,1,25000,1472,3 out of 8,Carpet Area,Adyar,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2024-01-28,1,24000,1790,3 out of 9,Super Area,Gachibowli,Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner
2023-07-04,2,25500,1486,Ground out of 1,Carpet Area,Jubilee Hills,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-01-18,3,98000,1418,6 out of 9,Super Area,Navi Mumbai,Mumbai,Unfurnished,Bachelors,4,Contact Owner
2024-02-20,4,43000,1355,5 out of 6,Carpet Area,Anna Nagar,Chennai,Furnished,Bachelors/Family,5,Contact Owner
2022-08-07,2,36000,952,Ground out of 1,Built Area,Vasant Kunj,Delhi,Furnished,Bachelors/Family,2,Contact Agent
2022-09-19,4,30000,1314,1 out of 5,Carpet Area,Mylapore,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-15,1,26000,1501,5 out of 11,Built Area,Jubilee Hills,Hyderabad,Furnished,Bachelors,1,Contact Builder
2023-11-21,1,10500,1465,2 out of 6,Carpet Area,Park Street,Kolkata,Unfurnished,Family,1,Contact Agent
2023-11-16,2,65500,879,4 out of 6,Super Area,Andheri East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2023-08-21,3,15000,1275,1 out of 4,Super Area,Park Street,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2023-11-10,2,14000,1397,Ground out of 3,Carpet Area,Salt Lake,Kolkata,Semi-Furnished,Family,2,Contact Owner
2023-12-22,3,51500,1301,5 out of 10,Carpet Area,HSR Layout,Bangalore,Semi-Furnished,Bachelors,4,Contact Agent
2022-03-08,3,22500,1063,2 out of 3,Super Area,T Nagar,Chennai,Unfurnished,Family,4,Contact Owner
2024-02-27,3,46000,1169,7 out of 12,Carpet Area,Rohini,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-15,2,65000,997,4 out of 8,Super Area,Andheri East,Mumbai,Unfurnished,Bachelors/Family,3,Contact Owner
2022-01-12,1,26500,890,Ground out of 4,Super Area,Jayanagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Agent
2022-09-26,3,26000,947,4 out of 8,Super Area,HITEC City,Hyderabad,Furnished,Family,4,Contact Agent
2023-05-14,2,54500,1973,3 out of 4,Built Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
2023-03-30,1,26000,613,2 out of 8,Super Area,Jayanagar,Bangalore,Furnished,Bachelors/Family,1,Contact Agent
2022-12-20,2,13500,575,3 out of 8,Super Area,Mylapore,Chennai,Semi-Furnished,Bachelors,1,Contact Owner
2023-11-20,1,32000,1570,Ground out of 3,Super Area,Karol Bagh,Delhi,Unfurnished,Family,1,Contact Agent
2023-04-02,2,8500,595,2 out of 7,Carpet Area,Dum Dum,Kolkata,Furnished,Family,3,Contact Owner
2022-05-11,1,21500,1407,1 out of 6,Super Area,Anna Nagar,Chennai,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-08,3,45500,1106,2 out of 3,Carpet Area,BTM Layout,Bangalore,Unfurnished,Bachelors,3,Contact Agent
2023-05-25,2,27500,1684,Ground out of 3,Super Area,Velachery,Chennai,Unfurnished,Bachelors,1,Contact Builder
2023-02-04,2,28000,1021,1 out of 7,Built Area,Hauz Khas,Delhi,Unfurnished,Bachelors/Family,3,Contact Owner
2023-01-06,1,44000,664,2 out of 3,Carpet Area,Andheri East,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
2024-01-07,2,77500,925,4 out of 6,Super Area,Worli,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2022-09-06,2,82000,1269,1 out of 3,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-08-20,1,33000,921,6 out of 12,Super Area,Vasant Kunj,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-06-09,1,10500,1177,6 out of 10,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-02-16,2,46000,1343,1 out of 4,Super Area,Janakpuri,Delhi,Semi-Furnished,Bachelors,1,Contact Builder
2023-10-31,1,35500,1546,Ground out of 1,Super Area,Janakpuri,Delhi,Semi-Furnished,Bachelors,1,Contact Owner
2024-03-01,5,126000,1221,10 out of 15,Built Area,Malad,Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Owner
2022-05-11,3,32500,1446,5 out of 8,Super Area,Banjara Hills,Hyderabad,Unfurnished,Bachelors,3,Contact Owner
2022-11-19,2,23500,1232,5 out of 7,Super Area,Nungambakkam,Chennai,Furnished,Bachelors,3,Contact Agent
2023-07-25,2,56000,1392,8 out of 14,Super Area,Marathahalli,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
2022-06-12,3,38500,666,1 out of 5,Super Area,Janakpuri,Delhi,Furnished,Bachelors/Family,3,Contact Owner
2023-05-23,5,95000,952,Ground out of 5,Carpet Area,Navi Mumbai,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Builder
2023-12-02,2,33000,869,1 out of 2,Super Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,3,Contact Agent
2023-11-04,3,48500,1242,2 out of 3,Carpet Area,Lajpat Nagar,Delhi,Semi-Furnished,Bachelors,3,Contact Owner
2022-01-16,1,10000,1334,Ground out of 1,Built Area,Salt Lake,Kolkata,Semi-Furnished,Family,1,Contact Owner
2022-11-16,1,17000,1225,2 out of 6,Super Area,Porur,Chennai,Semi-Furnished,Bachelors,1,Contact Builder
2022-08-21,4,70000,1270,4 out of 7,Super Area,HSR Layout,Bangalore,Furnished,Bachelors,3,Contact Builder
2024-02-08,3,53000,1356,Ground out of 1,Super Area,Pitampura,Delhi,Unfurnished,Family,3,Contact Owner
2024-01-05,3,103000,1089,4 out of 9,Super Area,Navi Mumbai,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2022-05-14,3,25500,1219,Ground out of 6,Super Area,Mylapore,Chennai,Semi-Furnished,Bachelors,4,Contact Builder
2022-10-23,2,85000,1099,3 out of 7,Super Area,Worli,Mumbai,Furnished,Bachelors,3,Contact Owner
2023-03-26,4,30500,870,1 out of 2,Carpet Area,Banjara Hills,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner
2023-07-23,2,68500,1081,1 out of 5,Carpet Area,Navi Mumbai,Mumbai,Semi-Furnished,Family,1,Contact Agent
2023-02-16,2,19500,828,2 out of 5,Super Area,Mylapore,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-12-05,1,54000,992,Ground out of 2,Built Area,Powai,Mumbai,Semi-Furnished,Bachelors,1,Contact Owner
2023-05-08,2,10500,848,7 out of 9,Super Area,Behala,Kolkata,Semi-Furnished,Family,1,Contact Builder
2024-01-10,3,41500,1713,5 out of 8,Carpet Area,HITEC City,Hyderabad,Furnished,Bachelors/Family,3,Contact Agent
2023-07-11,3,45500,1094,Ground out of 3,Super Area,BTM Layout,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner
2022-10-11,5,82500,1255,3 out of 9,Super Area,Jayanagar,Bangalore,Furnished,Bachelors/Family,4,Contact Builder
2022-06-07,4,48000,1849,2 out of 3,Built Area,Kukatpally,Hyderabad,Furnished,Family,5,Contact Agent
2022-11-11,2,26500,951,4 out of 5,Carpet Area,Marathahalli,Bangalore,Unfurnished,Bachelors,1,Contact Agent
2023-08-17,3,18000,850,2 out of 5,Super Area,Kondapur,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Builder
2022-09-10,4,54000,1420,1 out of 6,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors,5,Contact Agent
2022-07-01,3,19500,929,2 out of 6,Super Area,Mylapore,Chennai,Unfurnished,Bachelors/Family,2,Contact Builder
2022-04-02,2,24500,1401,Ground out of 3,Super Area,Mylapore,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2023-07-12,2,16500,632,7 out of 13,Built Area,T Nagar,Chennai,Furnished,Bachelors/Family,3,Contact Agent
2023-01-08,2,30500,724,5 out of 6,Super Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Agent
2024-02-07,1,63000,1066,1 out of 3,Super Area,Bandra West,Mumbai,Furnished,Bachelors,1,Contact Owner
